matchId,draftgap_prediction,loldraftai_prediction,actual_result,draftgap_error,loldraftai_error,better_model,champion_ids,Blue_Top,Red_Top,Blue_Jungle,Red_Jungle,Blue_Mid,Red_Mid,Blue_ADC,Red_ADC,Blue_Support,Red_Support
EUW1_7295804371,0.5168594610029303,0.47820886969566345,1,0.48314053899706966,0.5217911303043365,DraftGap,"['48', '11', '800', '18', '526', '43', '876', '86', '222', '350']",Trundle,Karma,Master Yi,Lillia,Mel,Garen,Tristana,Jinx,Rell,Yuumi
EUW1_7295979130,0.529622767277814,0.6122000217437744,1,0.470377232722186,0.3877999782562256,LoLDraftAI,"['154', '141', '3', '222', '412', '23', '234', '55', '96', '117']",Zac,Tryndamere,Kayn,Viego,Galio,Katarina,Jinx,Kog'Maw,Thresh,Lulu
EUW1_7296326950,0.4519333916871896,0.4905710518360138,0,0.4519333916871896,0.4905710518360138,DraftGap,"['777', '35', '800', '96', '201', '58', '200', '893', '81', '267']",Yone,Renekton,Shaco,Bel'Veth,Mel,Aurora,Kog'Maw,Ezreal,Braum,Nami
EUW1_7296428710,0.58093633571961,0.7173687815666199,0,0.58093633571961,0.7173687815666199,DraftGap,"['14', '141', '134', '161', '267', '41', '427', '166', '81', '143']",Sion,Gangplank,Kayn,Ivern,Syndra,Akshan,Vel'Koz,Ezreal,Nami,Zyra
EUW1_7296401712,0.5959375797534813,0.5297576785087585,0,0.5959375797534813,0.5297576785087585,LoLDraftAI,"['777', '9', '246', '81', '40', '517', '113', '91', '202', '412']",Yone,Sylas,Fiddlesticks,Sejuani,Qiyana,Talon,Ezreal,Jhin,Janna,Thresh
EUW1_7295702307,0.4250723596356064,0.4148310720920563,1,0.5749276403643936,0.5851689279079437,DraftGap,"['36', '79', '84', '221', '412', '112', '131', '166', '222', '89']",Dr. Mundo,Viktor,Gragas,Diana,Akali,Akshan,Zeri,Jinx,Thresh,Leona
EUW1_7295776450,0.5689813635972878,0.3779686689376831,1,0.4310186364027122,0.6220313310623169,DraftGap,"['98', '104', '103', '42', '497', '106', '102', '134', '498', '526']",Shen,Volibear,Graves,Shyvana,Ahri,Syndra,Corki,Xayah,Rakan,Rell
EUW1_7295594216,0.42236924889799693,0.36982762813568115,1,0.5776307511020031,0.6301723718643188,DraftGap,"['950', '203', '893', '51', '43', '54', '62', '134', '67', '201']",Naafiri,Malphite,Kindred,Wukong,Aurora,Syndra,Caitlyn,Vayne,Karma,Braum
EUW1_7296392749,0.5362336168942995,0.504304051399231,1,0.4637663831057005,0.49569594860076904,DraftGap,"['107', '11', '99', '523', '526', '24', '77', '8', '22', '37']",Rengar,Jax,Master Yi,Udyr,Lux,Vladimir,Aphelios,Ashe,Rell,Sona
EUW1_7296448175,0.6175413218807083,0.6240853071212769,1,0.3824586781192917,0.37591469287872314,LoLDraftAI,"['75', '80', '517', '18', '60', '54', '234', '901', '161', '57']",Nasus,Malphite,Pantheon,Viego,Sylas,Smolder,Tristana,Vel'Koz,Elise,Maokai
EUW1_7296507371,0.5786776976778404,0.5870193243026733,1,0.4213223023221596,0.41298067569732666,LoLDraftAI,"['19', '887', '91', '222', '201', '17', '77', '799', '110', '37']",Warwick,Teemo,Gwen,Udyr,Talon,Ambessa,Jinx,Varus,Braum,Sona
